doc_id,error,quality_score,extraction_method
9320547,Poor text quality (score: 0.00) or insufficient content,0.0,digital
9320509,Poor text quality (score: 0.00) or insufficient content,0.0,digital
9320502,Poor text quality (score: 0.00) or insufficient content,0.0,digital
9320457,Poor text quality (score: 0.00) or insufficient content,0.0,digital
9320420,Poor text quality (score: 0.00) or insufficient content,0.0,digital
9320344,Poor text quality (score: 0.00) or insufficient content,0.0,digital
9320210,Poor text quality (score: 0.00) or insufficient content,0.0,digital
9320028,Poor text quality (score: 0.00) or insufficient content,0.0,digital
9319580,Poor text quality (score: 0.00) or insufficient content,0.0,digital
9319532,Poor text quality (score: 0.00) or insufficient content,0.0,digital
9319205,Poor text quality (score: 0.00) or insufficient content,0.0,digital
9319198,Poor text quality (score: 0.00) or insufficient content,0.0,digital
